,Najboljsi nakljucno,Casi najboljsi nakljucno,CLP,Casi CLP,Najboljsi lokalno iskanje,Casi najboljsi lokalno iskanje,Nakljucni lokalno iskanje,Casi nakljucni lokalno iskanje
275,11,0.048195838928222656,11,0.16213130950927734,11,0.0010721683502197266,12,0.03614401817321777
276,11,0.04535388946533203,11,0.14127111434936523,11,0.0010132789611816406,13,0.040116071701049805
277,11,0.04939723014831543,11,0.14144182205200195,11,0.0011091232299804688,12,0.03677105903625488
278,12,0.04595303535461426,12,0.08736491203308105,12,0.001110076904296875,13,0.03633713722229004
279,10,0.05000591278076172,11,0.1296532154083252,10,0.0010349750518798828,13,0.036255836486816406
280,10,0.04581594467163086,12,0.11356782913208008,11,0.0009708404541015625,11,0.0335848331451416
281,11,0.04608583450317383,11,0.1459500789642334,11,0.0009999275207519531,14,0.03305506706237793
282,10,0.04627394676208496,11,0.1135861873626709,11,0.0009610652923583984,12,0.03248715400695801
283,10,0.05578804016113281,12,0.14158320426940918,10,0.0010170936584472656,12,0.03300118446350098
284,10,0.04944109916687012,11,0.13276410102844238,10,0.0011050701141357422,11,0.04264092445373535
285,10,0.04578709602355957,11,0.16296911239624023,11,0.0009438991546630859,12,0.0337069034576416
286,12,0.046434879302978516,12,0.0932779312133789,12,0.001028299331665039,12,0.0369572639465332
287,10,0.0494837760925293,11,0.13243484497070312,11,0.0010440349578857422,12,0.036975860595703125
